X,Y,medFPQ,region,meanTheta
65,9,3.923048,NA,2.838555
60,10,0.492985,0,1.218145
63,10,2.759576,NA,1.983947
65,10,3e-6,0,1.30603
66,10,0.854175,0,-2.496284
54,11,2.235795,NA,1.648068
55,11,2.235795,NA,1.648068
56,11,1.756946,NA,1.438358
57,11,2.567276,NA,1.829554
58,11,0.378068,0,0.991176
59,11,0.897452,0,0.753169
60,11,1.286311,0,2.217382
61,11,0.321263,0,2.665496
62,11,1.31345,NA,0.045185
63,11,1.31345,NA,0.609338
64,11,0.982423,0,0.2824
65,11,4e-6,0,-0.856212
66,11,3.126586,NA,-0.418867
68,11,1.563106,NA,1.112677
69,11,0.176869,0,0.842467
70,11,0.176869,0,0.842467
71,11,1.317522,NA,-0.781922
72,11,2.104228,NA,-0.667894
73,11,1.637876,NA,-1.862658
74,11,0.917094,0,-1.919664
53,12,1.194972,0,2.448882
54,12,2.401229,NA,0.94744
55,12,2.401229,NA,0.94744
56,12,2.302095,NA,1.92069
57,12,0.70752,0,2.28557
58,12,0.974302,0,2.642354
59,12,0.750247,0,2.35194
60,12,0.421052,0,-0.364995
61,12,2.889534,NA,-1.446854
62,12,2.889534,NA,0.29846
63,12,0.674517,0,0.225038
64,12,0.889652,0,-2.397198
65,12,1.125669,0,2.996419
66,12,1.112756,0,0.179633
67,12,1.042707,0,1.943612
68,12,1.158631,0,1.930314
69,12,0.780726,0,2.294301
70,12,0.780726,0,2.294301
71,12,0.650051,0,2.369717
72,12,0.101773,0,2.194319
73,12,0.806137,0,-1.305906
74,12,1.876839,NA,1.124474
75,12,1.395535,NA,-2.234135
76,12,0.82829,0,-0.352739
51,13,0.175517,0,-3.105304
52,13,0.67632,0,-2.959337
53,13,3.678576,NA,1.894163
54,13,0.907655,0,-3.102075
55,13,0.907655,0,-3.102075
56,13,0.648938,0,2.284476
57,13,1.610311,NA,2.726816
58,13,0.370819,0,-1.940344
59,13,0.433818,0,2.687761
60,13,0.385295,0,1.443264
61,13,0.487779,0,0.602135
62,13,1.915034,NA,-0.362246
63,13,1.720098,NA,-2.427943
64,13,0.554788,0,-2.821183
65,13,1.193536,0,2.551761
66,13,0.620672,0,1.159201
67,13,0.056893,0,2.100379
68,13,1.424876,NA,-2.869676
69,13,1.776834,NA,-2.145401
70,13,1.776834,NA,-2.145401
71,13,0.313021,0,0.311315
72,13,1.600155,NA,2.884435
73,13,4.604268,NA,0.035688
74,13,5.009153,NA,-0.580119
75,13,0.816163,0,-2.25153
76,13,1.173015,0,1.42229
77,13,3.05685,NA,2.875297
50,14,0.868106,0,-2.630527
51,14,1.329858,NA,3.136173
52,14,1.083842,0,1.090678
53,14,0.829283,0,-2.395577
54,14,0.729403,0,0.228261
55,14,0.729403,0,0.228261
56,14,1.765653,NA,2.943403
57,14,2.304032,NA,2.753199
58,14,0.620366,0,2.85457
59,14,2.20396,NA,-0.040286
60,14,2.954165,NA,0.485387
61,14,0.804919,0,0.797571
62,14,0.804919,0,0.725858
63,14,0.535301,0,-0.72814
64,14,1.511115,NA,2.875023
65,14,3.166147,NA,3.101923
66,14,1.022176,0,2.214211
67,14,1.122798,0,1.253726
68,14,1.055845,0,-1.932349
69,14,1.055845,0,-1.932349
70,14,0.409754,0,2.369809
71,14,1.162534,0,0.74830700000000006
72,14,0.499023,0,3.130941
73,14,2.083984,NA,1.149622
74,14,2.158663,NA,-0.185562
75,14,1.314017,NA,-2.099658
76,14,2.162271,NA,2.512287
77,14,2.873475,NA,-2.960496
78,14,1.070606,0,-2.938218
49,15,1.742897,NA,1.774943
50,15,0.809971,0,2.974789
51,15,2.405871,NA,3.118267
52,15,0.883497,0,3.082163
53,15,1.468738,NA,2.692426
54,15,0.385186,0,1.147995
55,15,0.385186,0,1.147995
56,15,0.73152,0,1.610485
57,15,4.600806,NA,2.394979
58,15,0.788655,0,2.49509
59,15,0.668417,0,-0.160348
60,15,0.508353,0,0.056721
61,15,0.742775,0,-0.635445
62,15,0.742775,0,-0.569723
63,15,1.613379,NA,-0.030372
64,15,0.302079,0,1.664507
65,15,7.854957,NA,3.009873
66,15,3.989513,NA,2.886748
67,15,0.982501,0,-0.962426
68,15,0.819656,0,-2.884988
69,15,0.819656,0,-2.884988
70,15,1.191046,0,1.652346
71,15,0.338579,0,2.215453
72,15,1.361944,NA,-0.14208200000000001
73,15,4.486479,NA,0.163723
74,15,0.818668,0,-0.357778
75,15,1.320577,NA,0.920085
76,15,1.407107,NA,-0.275835
77,15,2.064015,NA,-0.888886
78,15,0.811584,0,-0.139445
79,15,0.495156,0,-2.143694
80,15,5.812348,NA,-2.893058
48,16,1.705894,NA,1.663456
49,16,0.253383,0,1.535978
50,16,1.027734,0,2.329488
51,16,6.602789,NA,2.798092
52,16,0.858283,0,2.417668
53,16,2.566357,NA,-1.030888
54,16,0.431535,0,-0.42571
55,16,0.431535,0,-0.42571
56,16,1.344195,NA,2.834018
57,16,2.06276,NA,1.400713
58,16,0.684444,0,2.580395
59,16,0.573956,0,2.939153
60,16,1.624694,NA,1.593718
61,16,2.555817,NA,-0.686041
62,16,1.963754,NA,-2.222372
63,16,0.785951,0,2.736505
64,16,1.199587,0,2.631386
65,16,9.556839,NA,3.091583
66,16,5.715859,NA,-3.111887
67,16,2.497767,NA,1.277668
68,16,0.948142,0,-0.714217
69,16,0.948142,0,-0.714217
70,16,1.269777,0,2.980866
71,16,1.307593,NA,-2.39919
72,16,5.074293,NA,-0.504063
73,16,3.124037,NA,0.547123
74,16,1.544876,NA,-0.643663
75,16,6.735567,NA,-0.004419
76,16,0.37524,0,-0.81456
77,16,2.182883,NA,-2.711571
78,16,0.485956,0,2.20106
79,16,4.213245,NA,-2.802081
80,16,2.744808,NA,-3.051008
81,16,1.255634,0,-2.893394
47,17,2.192085,NA,1.24913
48,17,2.026188,NA,2.151052
49,17,2.30581,NA,1.147066
50,17,0.491568,0,-2.540326
51,17,1.282888,0,2.692896
52,17,0.279407,0,2.758593
53,17,0.547463,0,-1.412575
54,17,0.596934,0,2.548846
55,17,0.596934,0,2.548846
56,17,0.323344,0,1.980175
57,17,1.366487,NA,1.926431
58,17,1.366487,NA,-2.304645
59,17,0.14469,0,2.486592
60,17,1.531702,NA,2.804594
61,17,1.735347,NA,-2.207451
62,17,1.735347,NA,-2.861783
63,17,0.258997,0,3.052921
64,17,1.897429,NA,3.029661
65,17,12.373338,NA,3.043648
66,17,3.192262,NA,3.008953
67,17,1.020451,0,2.477924
68,17,1.510621,NA,1.588742
69,17,1.510621,NA,1.588742
70,17,0.700047,0,0.773816
71,17,0.250317,0,-2.334702
72,17,0.854501,0,2.28473
73,17,1.169798,0,0.063349
74,17,0.839673,0,-0.04915
75,17,2.078818,NA,0.073074
76,17,0.43615,0,-0.014006
77,17,1.615932,NA,-1.306377
78,17,1.084954,0,-2.898783
79,17,2.829742,NA,2.371532
80,17,0.073403,0,-2.03603
81,17,3.45581,NA,2.690805
47,18,0.205123,0,2.014263
48,18,1.526664,NA,-3.126682
49,18,0.553208,0,1.169137
50,18,0.541147,0,2.387219
51,18,5.539012,NA,-3.102478
52,18,2.122219,NA,2.739144
53,18,0.933484,0,1.053691
54,18,0.860926,0,2.302502
55,18,0.860926,0,2.302502
56,18,0.593655,0,1.419451
57,18,0.549158,0,-2.130791
58,18,3.432509,NA,-2.800519
59,18,0.817842,0,2.840436
60,18,1.325014,NA,-2.785093
61,18,0.386451,0,-2.973179
62,18,0.978154,0,-3.104626
63,18,0.422967,0,0.644135
64,18,0.359845,0,2.540986
65,18,7.526899,NA,-3.100351
66,18,3.928321,NA,2.6937
67,18,1.169029,0,-2.274657
68,18,1.651313,NA,1.357045
69,18,1.651313,NA,1.357045
70,18,0.840968,0,-2.686736
71,18,0.583538,0,1.876004
72,18,0.349936,0,-2.499241
73,18,0.2429,0,-0.301949
74,18,0.649234,0,-0.305342
75,18,2.649692,NA,-0.48579
76,18,2.136019,NA,-2.418358
77,18,0.609004,0,0.352048
78,18,2.387414,NA,-2.578989
79,18,1.921729,NA,3.074322
80,18,4.206223,NA,-3.088404
81,18,3.323416,NA,-2.775471
82,18,1.744712,NA,-2.940843
46,19,0.469143,0,0.880884
47,19,1.921676,NA,-1.249004
48,19,1.574735,NA,2.913016
49,19,1.212605,0,-0.772655
50,19,1.093157,0,-3.015582
51,19,3.047247,NA,-2.924747
52,19,1.745436,NA,0.883339
53,19,1.25882,0,1.336475
54,19,2.539423,NA,0.657208
55,19,2.539423,NA,0.657208
56,19,0.937786,0,1.801253
57,19,3.042976,NA,1.027968
58,19,1.578645,NA,2.450068
59,19,1.578645,NA,-1.777064
60,19,0.791607,0,1.175083
61,19,0.740295,0,-2.683764
62,19,0.762434,0,-0.080684
63,19,0.753156,0,1.667822
64,19,1.011566,0,2.992507
65,19,4.26893,NA,-3.120644
66,19,0.881061,0,2.138054
67,19,1.008678,0,3.11736
68,19,2.710493,NA,1.722248
69,19,2.710493,NA,1.722248
70,19,0.997385,0,2.689581
71,19,1.507416,NA,0.283483
72,19,0.141144,0,-2.54236
73,19,0.668991,0,3.130625
74,19,0.965015,0,-1.579048
75,19,1.450105,NA,-2.4458
76,19,0.646547,0,-0.856426
77,19,0.147348,0,-0.355972
78,19,4.113214,NA,3.123099
79,19,1.63716,NA,-2.334482
80,19,3.105461,NA,0.734202
81,19,0.420644,0,0.53367
82,19,1.564875,NA,-1.92728
45,20,2.195056,NA,1.808545
46,20,1.376922,NA,1.521052
47,20,0.360978,0,-2.583304
48,20,3.271425,NA,3.052444
49,20,0.688496,0,2.596115
50,20,0.323836,0,-0.674502
51,20,0.24697,0,2.990601
52,20,1.148976,0,2.987792
53,20,1.86946,NA,-0.483397
54,20,0.211452,0,-0.784911
55,20,0.211452,0,-0.784911
56,20,0.302353,0,2.402754
57,20,2.105861,NA,2.297281
58,20,1.001593,0,1.211868
59,20,0.327315,0,1.779696
60,20,0.186537,0,-1.811513
61,20,0.147091,0,-2.579877
62,20,0.509306,0,-2.948415
63,20,4.122934,NA,-2.988151
64,20,1.830257,NA,-2.936283
65,20,5.427568,NA,-2.616695
66,20,1.009365,0,1.587381
67,20,1.92877,NA,2.620641
68,20,3.445998,NA,-3.098221
69,20,3.445998,NA,-3.098221
70,20,1.222926,0,2.027977
71,20,0.284031,0,-0.678645
72,20,0.961406,0,-2.862077
73,20,1.083891,0,0.092876
74,20,1.427224,NA,-0.455486
75,20,2.503041,NA,-0.321658
76,20,5.651364,NA,-0.201993
77,20,0.806735,0,-0.592717
78,20,2.764799,NA,1.529168
79,20,0.281964,0,-1.777518
80,20,1.686774,NA,-2.981615
81,20,0.837357,0,-2.225466
82,20,0.538515,0,0.163289
83,20,0.092947,0,2.852406
84,20,0.092947,0,2.852406
45,21,3.439749,NA,1.471785
46,21,0.596897,0,1.464305
47,21,0.077096,0,-2.803916
48,21,0.192537,0,1.591838
49,21,0.276527,0,-1.681054
50,21,1.067847,0,-0.468585
51,21,0.386858,0,-0.980176
52,21,1.044555,0,-1.903292
53,21,0.780805,0,0.184911
54,21,2.049412,NA,-0.010487
55,21,2.049412,NA,-0.010487
56,21,1.07566,0,1.00001
57,21,0.829187,0,-1.943181
58,21,0.770601,0,-0.614251
59,21,0.528254,0,-1.244565
60,21,0.454686,0,0.86117
61,21,0.662853,0,-2.91204
62,21,0.571793,0,-3.107586
63,21,0.485098,0,-3.042769
64,21,3.151462,NA,-2.928134
65,21,1.527626,NA,3.013696
66,21,1.83911,NA,0.957871
67,21,2.074985,NA,-2.315378
68,21,0.183244,0,-2.042251
69,21,0.183244,0,-2.042251
70,21,1.757858,NA,-1.209956
71,21,0.985164,0,2.113456
72,21,0.112251,0,3.138859
73,21,0.50302,0,-0.722236
74,21,1.933752,NA,-1.111061
75,21,1.930296,NA,0.15725
76,21,1.169703,0,1.176147
77,21,2.364284,NA,-2.358446
78,21,0.612458,0,1.747098
79,21,0.497081,0,-0.985099
80,21,5.780331,NA,3.001402
81,21,2.120193,NA,2.823486
82,21,1.466473,NA,-1.843299
83,21,1.466473,NA,-1.843299
84,21,1.117291,0,3.083549
45,22,3.439749,NA,1.471785
46,22,0.596897,0,1.464305
47,22,1.131605,0,-2.500966
48,22,0.583795,0,2.799223
49,22,0.164397,0,0.766637
50,22,1.159624,0,-0.533442
51,22,1.631356,NA,0.514867
52,22,1.591186,NA,-2.748277
53,22,0.196359,0,-0.329383
54,22,0.396741,0,0.602658
55,22,0.396741,0,0.602658
56,22,1.19914,0,-0.323379
57,22,1.026877,0,-0.307363
58,22,0.282596,0,1.292414
59,22,0.949527,0,1.845539
60,22,0.854217,0,2.956541
61,22,0.854217,0,-1.537601
62,22,0.766903,0,-1.156455
63,22,1.348068,NA,0.014138
64,22,0.585297,0,2.903842
65,22,0.314888,0,-2.066955
66,22,1.764667,NA,2.158887
67,22,5.174803,NA,-2.932145
68,22,0.581194,0,2.886043
69,22,0.581194,0,2.886043
70,22,0.826261,0,-2.687507
71,22,0.219999,0,1.68357
72,22,1.357353,NA,0.679058
73,22,3.119266,NA,-1.150929
74,22,1.166077,0,-1.765543
75,22,0.403545,0,-1.087606
76,22,0.363659,0,2.304321
77,22,0.449584,0,0.74814
78,22,2.737263,NA,-2.754133
79,22,0.306174,0,-3.091564
80,22,1.24973,0,0.876972
81,22,0.091491,0,-1.416558
82,22,0.123438,0,-1.756739
83,22,0.123438,0,-1.756739
84,22,1.208805,0,2.463576
85,22,1.542264,NA,2.825491
45,23,1.269533,0,2.183124
46,23,0.624586,0,-1.35836
47,23,1.131605,0,-2.500966
48,23,0.583795,0,2.799223
49,23,0.164397,0,0.766637
50,23,1.159624,0,-0.533442
51,23,1.631356,NA,0.514867
52,23,1.591186,NA,-2.748277
53,23,0.196359,0,-0.329383
54,23,0.396741,0,0.602658
55,23,0.396741,0,0.602658
56,23,1.19914,0,-0.323379
57,23,1.026877,0,-0.307363
58,23,0.282596,0,1.292414
59,23,0.949527,0,1.845539
60,23,0.854217,0,2.956541
61,23,0.854217,0,-1.537601
62,23,0.766903,0,-1.156455
63,23,1.348068,NA,0.014138
64,23,0.585297,0,2.903842
65,23,0.314888,0,-2.066955
66,23,1.764667,NA,2.158887
67,23,5.174803,NA,-2.932145
68,23,0.581194,0,2.886043
69,23,0.581194,0,2.886043
70,23,0.826261,0,-2.687507
71,23,0.219999,0,1.68357
72,23,1.357353,NA,0.679058
73,23,3.119266,NA,-1.150929
74,23,0.196447,0,2.899884
75,23,1.390394,NA,-0.354486
76,23,1.270094,0,-0.34656
77,23,2.809583,NA,-0.363167
78,23,2.809583,NA,-0.828473
79,23,0.628317,0,0.097751
80,23,2.73601,NA,-0.131116
81,23,3.736231,NA,-0.176498
82,23,3.699461,NA,0.149265
83,23,3.699461,NA,0.149265
84,23,1.630781,NA,1.111924
85,23,1.131585,0,2.085128
45,24,0.038836,0,-2.758122
46,24,0.648686,0,0.47792
47,24,1.758007,NA,1.864718
48,24,0.738194,0,1.327777
49,24,1.758496,NA,1.019732
50,24,0.37704,0,0.294571
51,24,1.548694,NA,1.150911
52,24,0.382202,0,-0.727154
53,24,0.131094,0,-2.603918
54,24,0.485826,0,0.386671
55,24,0.485826,0,0.386671
56,24,2.325344,NA,0.771532
57,24,0.971111,0,-1.254507
58,24,0.093527,0,0.192884
59,24,0.183427,0,2.657932
60,24,0.194403,0,-2.906871
61,24,0.194403,0,-3.001454
62,24,0.067556,0,-1.450496
63,24,0.106735,0,-2.827565
64,24,1.359643,NA,0.087975
65,24,0.279064,0,-1.186145
66,24,2.273475,NA,-3.028475
67,24,0.369186,0,-1.402056
68,24,0.973034,0,2.534454
69,24,0.973034,0,2.534454
70,24,0.219393,0,-3.015561
71,24,0.506232,0,2.057373
72,24,1.652829,NA,1.484368
73,24,1.17386,0,0.532123
74,24,0.196447,0,2.899884
75,24,1.390394,NA,-0.354486
76,24,1.270094,0,-0.34656
77,24,2.809583,NA,-0.363167
78,24,2.809583,NA,-0.828473
79,24,0.628317,0,0.097751
80,24,2.73601,NA,-0.131116
81,24,3.736231,NA,-0.176498
82,24,3.699461,NA,0.149265
83,24,3.699461,NA,0.149265
84,24,1.630781,NA,1.111924
85,24,1.131585,0,2.085128
44,25,0.707884,0,2.186963
45,25,1.34408,NA,-0.29
46,25,0.532449,0,-2.289407
47,25,1.040474,0,-0.509688
48,25,3.04145,NA,0.525795
49,25,0.462489,0,-0.212922
50,25,2.338058,NA,-0.146771
51,25,0.49819600000000003,0,-1.141503
52,25,1.199129,0,-0.504574
53,25,1.618149,NA,0.609364
54,25,2.027803,NA,-2.291737
55,25,2.027803,NA,-2.291737
56,25,1.042736,0,0.194533
57,25,0.85601,0,-0.321699
58,25,0.258953,0,1.401416
59,25,0.487345,0,-0.136803
60,25,0.214865,0,-0.60083
61,25,0.381552,0,-0.390429
62,25,0.482244,0,1.179024
63,25,0.360962,0,0.673849
64,25,1.449342,NA,-2.312416
65,25,0.3299,0,-2.100464
66,25,0.174929,0,1.271971
67,25,0.550701,0,-2.5991
68,25,0.978259,0,-1.176197
69,25,0.978259,0,-1.176197
70,25,0.610756,0,-0.155033
71,25,0.880105,0,-1.429165
72,25,0.15189,0,-1.069622
73,25,0.916257,0,2.217496
74,25,0.373893,0,2.515609
75,25,0.528856,0,2.423013
76,25,4.965709,NA,0.316002
77,25,0.626082,0,0.125959
78,25,0.193606,0,-0.70034
79,25,1.332605,NA,-0.787256
80,25,1.048613,0,2.421673
81,25,0.456172,0,0.24061
82,25,0.192616,0,0.203206
83,25,0.192616,0,0.203206
84,25,0.226039,0,-2.168175
85,25,2.01124,NA,-3.054381
44,26,0.355731,0,2.194617
45,26,1.258179,0,1.095181
46,26,0.400955,0,3.050536
47,26,0.261102,0,0.325075
48,26,0.273602,0,0.541438
49,26,0.393337,0,-1.132003
50,26,2.177922,NA,0.555234
51,26,0.250155,0,2.846338
52,26,0.292101,0,-2.05569
53,26,0.283499,0,-2.865625
54,26,1.394375,NA,0.475138
55,26,1.394375,NA,0.475138
56,26,0.580373,0,-2.350286
57,26,0.840958,0,-0.517542
58,26,1.267581,0,-0.720471
59,26,1.762955,NA,0.256931
60,26,0.82707,0,0.033389
61,26,0.82707,0,-0.732027
62,26,1.53062,NA,-0.893994
63,26,0.66491,0,1.373287
64,26,0.807321,0,0.937484
65,26,0.432298,0,2.756334
66,26,0.426994,0,-2.389276
67,26,0.518605,0,1.467856
68,26,1.356539,NA,-1.760716
69,26,1.356539,NA,-1.760716
70,26,0.802401,0,-1.18288
71,26,1.261653,0,1.351186
72,26,1.286668,0,1.564575
73,26,0.606415,0,1.891782
74,26,1.386318,NA,0.100265
75,26,2.257805,NA,0.427955
76,26,0.782608,0,-2.325196
77,26,0.339783,0,-1.604257
78,26,0.546561,0,-0.767847
79,26,0.321631,0,-1.909247
80,26,2.057509,NA,-2.758284
81,26,0.222479,0,-1.43139
82,26,0.56321,0,0.345939
83,26,0.56321,0,0.345939
84,26,1.370638,NA,1.196535
85,26,0.587179,0,0.959013
86,26,0.422962,0,2.083889
44,27,0.674024,0,0.477038
45,27,0.946549,0,1.19888
46,27,1.461309,NA,1.544502
47,27,1.545425,NA,-1.6784
48,27,0.710616,0,-0.033152
49,27,1.105479,0,-2.593813
50,27,0.599209,0,-2.101909
51,27,1.237412,0,1.4636
52,27,0.131841,0,-1.294012
53,27,0.005836,0,-3.072964
54,27,0.987221,0,-2.603698
55,27,0.987221,0,-2.603698
56,27,0.679697,0,1.629496
57,27,0.382569,0,2.827051
58,27,1.040922,0,-1.828332
59,27,0.817403,0,0.230347
60,27,0.493385,0,-0.680422
61,27,0.3653,0,-0.920074
62,27,1.119475,0,0.111958
63,27,0.49773,0,-1.074825
64,27,1.621951,NA,0.567786
65,27,2.326662,NA,-0.641691
66,27,0.706162,0,-0.637574
67,27,0.706162,0,-1.496861
68,27,0.497861,0,-2.589579
69,27,0.497861,0,-2.589579
70,27,0.060421,0,0.480057
71,27,0.517828,0,2.890891
72,27,1.493463,NA,-1.082274
73,27,0.997715,0,0.272835
74,27,0.753087,0,-0.533755
75,27,1.134987,0,-0.289789
76,27,0.511726,0,-2.599797
77,27,2.140215,NA,0.094327
78,27,1.764768,NA,-0.01468
79,27,0.671797,0,0.579091
80,27,1.053756,0,3.046872
81,27,1.730163,NA,-2.187973
82,27,0.976701,0,1.959237
83,27,0.976701,0,1.959237
84,27,0.319834,0,2.751179
85,27,1.420676,NA,-2.150717
86,27,1.398801,NA,1.102566
44,28,1.098462,0,1.694676
45,28,0.353465,0,2.409498
46,28,1.311719,NA,2.396181
47,28,1.702482,NA,2.366654
48,28,0.246976,0,-1.806141
49,28,0.189887,0,-0.376312
50,28,0.348394,0,-0.922159
51,28,1.602143,NA,0.487746
52,28,0.090706,0,-0.606642
53,28,0.459811,0,-0.007106
54,28,0.825255,0,-2.718924
55,28,0.825255,0,-2.718924
56,28,0.595472,0,-1.557125
57,28,0.823223,0,2.539679
58,28,0.946595,0,-1.252196
59,28,0.234821,0,-0.584608
60,28,0.36966,0,1.258615
61,28,0.192227,0,-2.314203
62,28,1.053501,0,1.629351
63,28,2.775677,NA,-2.523136
64,28,1.021784,0,-1.916262
65,28,0.011872,0,-2.267108
66,28,0.679719,0,2.810313
67,28,0.876914,0,-1.094746
68,28,1.300874,NA,0.415549
69,28,1.300874,NA,0.415549
70,28,0.173723,0,2.50713
71,28,1.262365,0,-0.751871
72,28,0.639655,0,0.572766
73,28,1.044542,0,2.710405
74,28,1.016152,0,-1.316974
75,28,0.801254,0,0.6339
76,28,0.856214,0,-0.43627
77,28,0.729102,0,-1.886845
78,28,0.283508,0,1.653745
79,28,1.169065,0,-3.036865
80,28,1.061239,0,-3.078371
81,28,0.20719,0,2.471319
82,28,1.165819,0,2.762387
83,28,1.165819,0,2.762387
84,28,0.858824,0,1.349476
85,28,0.825179,0,-1.468158
86,28,1.227693,0,2.010585
44,29,0.435453,0,-2.483453
45,29,1.14568,0,-2.800919
46,29,1.246634,0,2.214594
47,29,0.9175,0,2.257728
48,29,4.05373,NA,2.65432
49,29,0.928164,0,2.43026
50,29,0.624008,0,2.482926
51,29,0.872257,0,-2.622111
52,29,1.477407,NA,2.427762
53,29,0.384929,0,-0.107936
54,29,2.145687,NA,-2.204317
55,29,2.145687,NA,-2.204317
56,29,0.666245,0,2.744505
57,29,2.399588,NA,0.298922
58,29,0.32606,0,1.975593
59,29,0.122726,0,0.391217
60,29,0.738463,0,0.78058
61,29,0.700475,0,0.170114
62,29,0.142021,0,-2.803783
63,29,0.62199,0,2.486654
64,29,1.448822,NA,-1.938894
65,29,0.590352,0,-2.673619
66,29,0.893408,0,2.455229
67,29,1.351788,NA,-1.88554
68,29,0.408111,0,-0.959396
69,29,0.408111,0,-0.959396
70,29,0.808587,0,-2.100059
71,29,0.399417,0,1.40766
72,29,1.041795,0,0.339964
73,29,0.65332,0,-2.241749
74,29,0.308008,0,-2.84399
75,29,0.532325,0,1.070905
76,29,2.160324,NA,-0.963519
77,29,0.222083,0,-1.596105
78,29,2.2666,NA,2.046996
79,29,0.165465,0,1.964323
80,29,0.941293,0,2.59267
81,29,0.839532,0,1.73809
82,29,1.355097,NA,-2.228947
83,29,1.355097,NA,-2.228947
84,29,1.731007,NA,-0.218151
85,29,0.809965,0,-1.620791
86,29,0.463798,0,3.057679
44,30,0.51537,0,-1.983754
45,30,1.762759,NA,-2.559329
46,30,0.532141,0,-2.051361
47,30,1.528577,NA,0.832543
48,30,0.14144,0,-1.773219
49,30,1.22016,0,0.357778
50,30,1.349383,NA,2.187129
51,30,1.385542,NA,1.051104
52,30,1.248677,0,0.234947
53,30,0.249249,0,0.401586
54,30,1.460887,NA,0.733279
55,30,1.460887,NA,0.733279
56,30,0.378065,0,1.044111
57,30,0.378065,0,-2.765434
58,30,0.957566,0,0.597284
59,30,0.588014,0,0.28335
60,30,2.290204,NA,0.447773
61,30,0.598404,0,1.177968
62,30,0.884019,0,0.522237
63,30,0.720805,0,-1.302336
64,30,2.156407,NA,-2.725124
65,30,1.109282,0,2.966181
66,30,0.443758,0,-2.561331
67,30,0.461082,0,2.472262
68,30,0.398657,0,0.237734
69,30,0.398657,0,0.237734
70,30,0.674627,0,1.136376
71,30,0.737554,0,0.631562
72,30,1.998559,NA,-0.463914
73,30,0.422701,0,2.212918
74,30,0.310504,0,0.257134
75,30,0.442125,0,-2.933097
76,30,1.700011,NA,1.254094
77,30,0.790088,0,-2.983398
78,30,1.11133,0,-1.918569
79,30,0.618016,0,2.346361
80,30,0.237768,0,-1.598445
81,30,0.883361,0,2.689883
82,30,0.919254,0,-1.321159
83,30,0.919254,0,-1.321159
84,30,1.497259,NA,-0.663944
85,30,1.410821,NA,1.327455
86,30,1.214562,0,2.315842
44,31,0.353113,0,0.927819
45,31,0.605237,0,-2.060639
46,31,0.457885,0,2.038955
47,31,0.738134,0,-1.065768
48,31,1.82584,NA,3.067667
49,31,0.527646,0,-0.896292
50,31,0.818044,0,2.342961
51,31,1.183636,0,0.754657
52,31,0.564656,0,-1.610324
53,31,0.564656,0,-0.404856
54,31,0.735707,0,-1.555101
55,31,0.735707,0,-1.555101
56,31,0.088616,0,-1.443895
57,31,0.464473,0,-2.686554
58,31,1.27624,0,0.454057
59,31,0.320635,0,1.95071
60,31,0.486586,0,-0.114881
61,31,0.486586,0,0.02302
62,31,0.341172,0,0.926074
63,31,0.361462,0,-0.487951
64,31,0.498496,0,-3.070503
65,31,0.230402,0,-2.104527
66,31,0.29127,0,-2.924099
67,31,0.979559,0,3.000388
68,31,0.449108,0,0.175354
69,31,0.449108,0,0.175354
70,31,0.832811,0,1.319439
71,31,0.352848,0,0.372107
72,31,0.368477,0,2.718457
73,31,2.964333,NA,2.765327
74,31,0.472564,0,2.03566
75,31,0.304597,0,0.104782
76,31,1.162692,0,1.918822
77,31,0.403352,0,1.755103
78,31,0.538425,0,-1.567409
79,31,0.970527,0,1.686668
80,31,0.219884,0,2.333429
81,31,0.560921,0,-3.111347
82,31,0.596896,0,-2.320997
83,31,0.596896,0,-2.320997
84,31,0.360347,0,0.315943
