treatment,moth,parasitoid
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,1,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,4,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,2,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,2
treated,3,5
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,1,0
treated,0,1
treated,0,0
treated,5,28
treated,0,0
treated,0,2
treated,0,1
treated,0,0
treated,6,10
treated,1,1
treated,1,0
treated,1,2
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,3,1
treated,0,1
treated,0,5
treated,6,1
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,4,5
treated,0,1
treated,1,1
treated,0,1
treated,8,3
treated,0,3
treated,0,1
treated,0,0
treated,0,0
treated,0,1
treated,0,1
treated,0,0
treated,0,2
treated,0,4
treated,0,0
treated,0,0
treated,1,1
treated,1,0
treated,0,3
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,1,0
treated,3,0
treated,0,1
treated,0,1
treated,0,2
treated,0,0
treated,0,2
treated,0,0
treated,2,2
treated,0,0
treated,0,2
treated,0,3
treated,2,3
treated,0,3
treated,0,1
treated,0,0
treated,0,3
treated,8,18
treated,0,0
treated,0,2
treated,0,0
treated,0,0
treated,0,3
treated,0,0
treated,0,0
treated,0,3
treated,0,4
treated,0,0
treated,0,1
treated,0,1
treated,0,2
treated,0,2
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,1
treated,0,1
treated,0,4
treated,0,0
treated,0,0
treated,0,1
treated,0,0
treated,0,0
treated,0,0
treated,1,19
treated,0,3
treated,0,1
treated,0,8
treated,0,1
treated,1,0
treated,0,3
treated,0,0
treated,1,10
treated,0,2
treated,0,2
treated,0,1
treated,0,0
treated,1,0
treated,2,0
treated,0,0
treated,1,12
treated,0,0
treated,0,1
treated,0,0
treated,0,0
treated,1,0
treated,0,0
treated,0,0
treated,0,4
treated,0,1
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,1,1
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,0,0
treated,1,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,1
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,1
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,2
control,0,0
control,0,1
control,0,0
control,0,0
control,0,0
control,1,0
control,0,1
control,0,0
control,0,0
control,0,0
control,0,0
control,0,1
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,1,0
control,0,0
control,0,0
control,0,0
control,0,0
control,1,0
control,1,0
control,1,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,2
control,0,0
control,1,0
control,0,0
control,0,0
control,0,0
control,1,0
control,0,0
control,1,0
control,0,0
control,0,0
control,1,1
control,0,2
control,1,1
control,0,0
control,1,0
control,0,0
control,0,0
control,1,3
control,0,1
control,1,0
control,0,0
control,0,1
control,0,0
control,11,4
control,0,1
control,1,4
control,0,1
control,0,1
control,0,1
control,0,0
control,13,1
control,1,0
control,0,1
control,0,0
control,1,1
control,1,11
control,12,11
control,1,0
control,5,11
control,1,0
control,12,11
control,4,0
control,8,18
control,0,0
control,1,0
control,0,0
control,2,0
control,0,0
control,2,0
control,0,0
control,3,1
control,0,0
control,4,0
control,0,2
control,0,0
control,0,0
control,0,0
control,1,4
control,0,1
control,0,2
control,4,1
control,0,0
control,0,0
control,1,9
control,0,2
control,1,3
control,6,0
control,0,0
control,1,1
control,2,45
control,0,0
control,0,0
control,3,6
control,4,2
control,0,0
control,0,0
control,4,2
control,1,1
control,1,5
control,1,2
control,0,1
control,0,1
control,0,4
control,0,0
control,0,0
control,2,0
control,0,0
control,0,1
control,0,1
control,0,0
control,0,0
control,0,0
control,1,0
control,0,0
control,1,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,0
control,0,1
control,0,0
control,0,0
control,0,1
control,0,0
control,0,0
control,0,1
control,0,0